16,1,1,16,12,908004
16,1,1,16,16,935781
16,1,1,16,24,949658
16,1,1,16,32,916325
16,1,1,16,4,886896
16,1,1,16,8,947627
16,1,1,32,12,828248
16,1,1,32,16,910112
16,1,1,32,24,929769
16,1,1,32,32,1008417
16,1,1,32,4,921678
16,1,1,32,8,877290
16,1,1,4,12,2609539
16,1,1,4,16,2606029
16,1,1,4,24,2597816
16,1,1,4,32,2620825
16,1,1,4,4,2604882
16,1,1,4,8,2615064
16,1,1,64,12,1188405
16,1,1,64,16,1443750
16,1,1,64,24,1460192
16,1,1,64,32,1434271
16,1,1,64,4,1372733
16,1,1,64,8,1191066
16,1,1,8,12,1425612
16,1,1,8,16,1443284
16,1,1,8,24,1417079
16,1,1,8,32,1426919
16,1,1,8,4,1372620
16,1,1,8,8,1425457
16,16,1,16,12,1064937
16,16,1,16,16,1215464
16,16,1,16,24,1093674
16,16,1,16,4,1006952
16,16,1,16,8,1228227
16,16,1,32,12,2040371
16,16,1,32,4,2222651
16,16,1,32,8,2041157
16,16,1,4,12,648527
16,16,1,4,16,638158
16,16,1,4,24,659632
16,16,1,4,32,617284
16,16,1,4,4,681051
16,16,1,4,8,690225
16,16,1,64,4,2483270
16,16,1,8,12,715499
16,16,1,8,16,724243
16,16,1,8,24,739234
16,16,1,8,32,801736
16,16,1,8,4,714464
16,16,1,8,8,737956
16,32,1,16,12,1407339
16,32,1,16,4,1326101
16,32,1,16,8,1413913
16,32,1,32,4,1876255
16,32,1,4,12,665604
16,32,1,4,16,709098
16,32,1,4,24,710657
16,32,1,4,32,660259
16,32,1,4,4,713804
16,32,1,4,8,685987
16,32,1,8,12,930365
16,32,1,8,16,907148
16,32,1,8,24,912404
16,32,1,8,32,1029495
16,32,1,8,4,906470
16,32,1,8,8,952457
16,4,1,16,12,620171
16,4,1,16,16,660548
16,4,1,16,24,674011
16,4,1,16,32,638644
16,4,1,16,4,639650
16,4,1,16,8,710400
16,4,1,32,12,857332
16,4,1,32,16,1003173
16,4,1,32,24,813158
16,4,1,32,32,1008623
16,4,1,32,4,891819
16,4,1,32,8,980839
16,4,1,4,12,814720
16,4,1,4,16,830833
16,4,1,4,24,810377
16,4,1,4,32,813530
16,4,1,4,4,801561
16,4,1,4,8,822212
16,4,1,64,12,1355035
16,4,1,64,16,1435560
16,4,1,64,24,1567655
16,4,1,64,4,1376348
16,4,1,64,8,1253276
