16,1,1,16,893439
16,1,1,32,873176
16,1,1,4,2637898
16,1,1,64,1260987
16,1,1,8,1443858
16,16,1,16,1080011
16,16,1,32,1831920
16,16,1,4,634874
16,16,1,64,2444325
16,16,1,8,760741
16,32,1,16,1347843
16,32,1,32,1956562
16,32,1,4,695397
16,32,1,8,905809
16,4,1,16,626124
16,4,1,32,937887
16,4,1,4,814310
16,4,1,64,1388324
16,4,1,8,579689
16,8,1,16,767352
16,8,1,32,1267225
16,8,1,4,586037
16,8,1,64,1918679
16,8,1,8,629016
2,1,1,16,1278794
2,1,1,32,1973115
2,1,1,4,3065081
2,1,1,64,2548690
2,1,1,8,1633902
2,16,1,16,1059384
2,16,1,32,2004233
2,16,1,4,613008
2,16,1,64,2854702
2,16,1,8,630789
2,32,1,16,2672396
2,32,1,32,3286160
2,32,1,4,725830
2,32,1,64,4014530
2,32,1,8,787269
2,4,1,16,792488
2,4,1,32,1948536
2,4,1,4,981906
2,4,1,64,2083365
2,4,1,8,638294
2,8,1,16,1105981
2,8,1,32,1827352
2,8,1,4,593588
2,8,1,64,1911138
2,8,1,8,632307
32,1,1,16,900649
32,1,1,32,783195
32,1,1,4,2628392
32,1,1,64,1045013
32,1,1,8,1443532
32,16,1,16,1228455
32,16,1,32,1735974
32,16,1,4,708549
32,16,1,8,874192
32,32,1,16,1454199
32,32,1,4,865642
32,32,1,8,1192006
32,4,1,16,730902
32,4,1,32,1119172
32,4,1,4,835315
32,4,1,64,1759208
32,4,1,8,597414
32,8,1,16,1006413
32,8,1,32,1761012
32,8,1,4,662485
32,8,1,64,2181212
32,8,1,8,701117
4,1,1,16,1172551
4,1,1,32,1316314
4,1,1,4,2858797
4,1,1,64,2490819
4,1,1,8,1528538
4,16,1,16,1393718
4,16,1,32,1561332
4,16,1,4,587741
4,16,1,64,2173259
4,16,1,8,640845
4,32,1,16,1471460
4,32,1,32,1924271
4,32,1,4,633028
4,32,1,64,2749072
4,32,1,8,723880
4,4,1,16,1083646
4,4,1,32,1776751
4,4,1,4,871201
4,4,1,64,1864488
4,4,1,8,742868
4,8,1,16,1232687
4,8,1,32,1579095
4,8,1,4,562286
4,8,1,64,1819590
4,8,1,8,625080
64,1,1,16,907446
64,1,1,32,834767
64,1,1,4,2653692
64,1,1,64,1270249
64,1,1,8,1464164
64,16,1,16,1429487
64,16,1,32,2384634
64,16,1,4,830615
64,16,1,8,1165113
64,32,1,16,2384571
64,32,1,4,1251024
64,32,1,8,1183273
64,4,1,16,934139
64,4,1,32,1467748
64,4,1,4,864283
64,4,1,64,2041362
64,4,1,8,687936
64,8,1,16,1231279
64,8,1,32,1518940
64,8,1,4,677385
64,8,1,8,841650
8,1,1,16,926575
8,1,1,32,1075933
8,1,1,4,2721389
8,1,1,64,1521426
8,1,1,8,1464846
8,16,1,16,981555
8,16,1,32,1508036
8,16,1,4,582299
8,16,1,64,2369729
8,16,1,8,649889
8,32,1,16,1323519
8,32,1,32,2446505
8,32,1,4,650473
8,32,1,64,2743504
8,32,1,8,793055
8,4,1,16,922102
8,4,1,32,1269198
8,4,1,4,834903
8,4,1,64,1371793
8,4,1,8,591830
8,8,1,16,909207
8,8,1,32,1021042
8,8,1,4,550051
8,8,1,64,1603571
8,8,1,8,578459
